"","sp1_common","sp1_scientific","sp1_tax_res","sp1_tax_group","sp1_lifestage","sp2_common","sp2_scientific","sp2_tax_res","sp2_tax_group","sp2_lifestage","effect_sp1_on_sp2","effect_sp2_on_sp1","interaction","interaction_strength","interaction_freq_count","interaction_freq_percent","time_of_year","year","elevation","vertical_strata","latitude","longitude","location_description","habitat_description","source_citation","source_URL","text_excerpt_occ","text_excerpt_ixn","raw_data","name_changes","other_sp1","comments","occ_freq","raw_data_ID","sp1_gbif","sp2_gbif"
"1","Domestic Cat","Felis catus","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2026,NA,NA,10.4370866667,-83.99962,"positional accuracy = 6 m",NA,NA,"https://www.inaturalist.org/observations/343902603",NA,NA,NA,NA,NA,NA,NA,NA,"Felis catus",NA
"2","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February",2026,NA,NA,10.4312783681,-84.0055937472,"positional accuracy = 2 m",NA,NA,"https://www.inaturalist.org/observations/342930880",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"3","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February",2026,NA,NA,10.4315124767,-84.0062810853,"positional accuracy = 100 m",NA,NA,"https://www.inaturalist.org/observations/338162703",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"4","Margay","Leopardus wiedii","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"October",2025,NA,NA,10.2341445762,-84.122113659,"positional accuracy = 46 m",NA,NA,"https://www.inaturalist.org/observations/320925452",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus wiedii",NA
"5","Margay","Leopardus wiedii","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"September",2025,NA,NA,10.0326729542,-84.1986689479,"positional accuracy = 389 m",NA,NA,"https://www.inaturalist.org/observations/316279981",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus wiedii",NA
"6","Margay","Leopardus wiedii","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"September",2025,NA,NA,10.533882247,-83.8928752757,"positional accuracy = 15 m",NA,NA,"https://www.inaturalist.org/observations/313840770",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus wiedii",NA
"7","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July",2025,NA,NA,10.4299583333,-84.0061833333,"positional accuracy = 1 m",NA,NA,"https://www.inaturalist.org/observations/296184550",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"8","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June",2025,NA,NA,10.42327,-84.0220305,"positional accuracy = 1 m",NA,NA,"https://www.inaturalist.org/observations/296173492",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"9","Jaguar","Panthera onca","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April",2009,NA,NA,10.2246082913,-84.1098525351,"positional accuracy = 2138 m",NA,NA,"https://www.inaturalist.org/observations/294853844",NA,NA,NA,NA,NA,NA,NA,NA,"Panthera onca",NA
"10","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June",2025,NA,NA,10.4299583333,-84.0061833333,"positional accuracy = 1 m",NA,NA,"https://www.inaturalist.org/observations/294193791",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"11","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April",2025,NA,NA,10.4312391265,-84.0052169189,"positional accuracy = 49 m",NA,NA,"https://www.inaturalist.org/observations/268662341",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"12","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April",2025,NA,NA,10.4312420941,-84.0052152425,"positional accuracy = 60 m",NA,NA,"https://www.inaturalist.org/observations/268662250",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"13","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April",2025,NA,NA,10.4520513024,-84.058281742,"positional accuracy = 207 m",NA,NA,"https://www.inaturalist.org/observations/268251310",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"14","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2025,NA,NA,10.4520513024,-84.058281742,"positional accuracy = 207 m",NA,NA,"https://www.inaturalist.org/observations/267986122",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"15","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2025,NA,NA,10.430683323,-84.010683159,"positional accuracy = 15 m",NA,NA,"https://www.inaturalist.org/observations/267265192",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"16","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2025,NA,NA,10.4313293115,-84.0047825866,"positional accuracy = 22 m",NA,NA,"https://www.inaturalist.org/observations/266857451",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"17","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2025,NA,NA,10.447225388,-84.1044053951,"positional accuracy = 20 m",NA,NA,"https://www.inaturalist.org/observations/266857426",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"18","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2025,NA,NA,10.4677363489,-84.0347025557,"positional accuracy = 261 m",NA,NA,"https://www.inaturalist.org/observations/266857373",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"19","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2025,NA,NA,10.4305833333,-84.0050138833,"positional accuracy = 60 m",NA,NA,"https://www.inaturalist.org/observations/266551680",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"20","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2025,NA,NA,10.4300366667,-84.0050416667,"positional accuracy = 46 m",NA,NA,"https://www.inaturalist.org/observations/266551640",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
